codeName,codeType,faceValue,numberShares,codeNum,date,closed,updown,delta,open,high,low,volume
삼성전자,코스피,5000,147299,005930,2014.02.10,1277000,up,2000,1271000,1281000,1262000,155993
삼성전자,코스피,5000,147299,005930,2014.02.11,1311000,up,34000,1281000,1315000,1272000,253680
삼성전자,코스피,5000,147299,005930,2014.02.12,1307000,down,4000,1331000,1331000,1305000,200548
삼성전자,코스피,5000,147299,005930,2014.02.13,1298000,down,9000,1300000,1320000,1290000,116769
삼성전자,코스피,5000,147299,005930,2014.02.14,1301000,up,3000,1296000,1308000,1292000,124415
삼성전자,코스피,5000,147299,005930,2014.02.17,1285000,down,16000,1292000,1306000,1280000,187733
삼성전자,코스피,5000,147299,005930,2014.02.18,1295000,up,10000,1285000,1299000,1282000,118213
삼성전자,코스피,5000,147299,005930,2014.02.19,1290000,down,5000,1300000,1300000,1280000,123595
삼성전자,코스피,5000,147299,005930,2014.02.20,1286000,down,4000,1290000,1296000,1281000,190866
삼성전자,코스피,5000,147299,005930,2014.02.21,1330000,up,44000,1333000,1333000,1300000,286924
삼성전자,코스피,5000,147299,005930,2014.02.24,1328000,down,2000,1334000,1345000,1321000,148501
삼성전자,코스피,5000,147299,005930,2014.02.25,1334000,up,6000,1332000,1340000,1326000,175706
삼성전자,코스피,5000,147299,005930,2014.02.26,1342000,up,8000,1337000,1343000,1325000,258361
삼성전자,코스피,5000,147299,005930,2014.02.27,1341000,down,1000,1335000,1342000,1330000,157827
삼성전자,코스피,5000,147299,005930,2014.02.28,1349000,up,8000,1337000,1349000,1332000,284647
삼성전자,코스피,5000,147299,005930,2014.03.03,1325000,down,24000,1336000,1340000,1321000,242083
삼성전자,코스피,5000,147299,005930,2014.03.04,1315000,down,10000,1320000,1329000,1315000,158003
삼성전자,코스피,5000,147299,005930,2014.03.05,1330000,up,15000,1335000,1341000,1330000,149830
삼성전자,코스피,5000,147299,005930,2014.03.06,1326000,down,4000,1329000,1329000,1310000,172335
삼성전자,코스피,5000,147299,005930,2014.03.07,1339000,up,13000,1339000,1339000,1329000,150973
삼성전자,코스피,5000,147299,005930,2014.03.10,1320000,down,19000,1320000,1330000,1317000,173152
삼성전자,코스피,5000,147299,005930,2014.03.11,1322000,up,2000,1320000,1327000,1309000,181596
삼성전자,코스피,5000,147299,005930,2014.03.12,1294000,down,28000,1320000,1320000,1293000,251585
삼성전자,코스피,5000,147299,005930,2014.03.13,1290000,down,4000,1294000,1313000,1290000,235004
삼성전자,코스피,5000,147299,005930,2014.03.14,1275000,down,15000,1270000,1285000,1270000,216736
삼성전자,코스피,5000,147299,005930,2014.03.17,1266000,down,9000,1275000,1276000,1258000,176400
삼성전자,코스피,5000,147299,005930,2014.03.18,1278000,up,12000,1270000,1283000,1266000,220912
삼성전자,코스피,5000,147299,005930,2014.03.19,1269000,down,9000,1280000,1285000,1268000,152771
삼성전자,코스피,5000,147299,005930,2014.03.20,1262000,down,7000,1270000,1272000,1262000,118788
삼성전자,코스피,5000,147299,005930,2014.03.21,1273000,up,11000,1269000,1273000,1262000,166426
삼성전자,코스피,5000,147299,005930,2014.03.24,1273000,,0,1260000,1274000,1259000,141478
삼성전자,코스피,5000,147299,005930,2014.03.25,1247000,down,26000,1269000,1270000,1241000,272500
삼성전자,코스피,5000,147299,005930,2014.03.26,1285000,up,38000,1269000,1290000,1248000,348894
삼성전자,코스피,5000,147299,005930,2014.03.27,1333000,up,48000,1290000,1333000,1285000,417557
삼성전자,코스피,5000,147299,005930,2014.03.28,1335000,up,2000,1320000,1338000,1320000,212974
삼성전자,코스피,5000,147299,005930,2014.03.31,1343000,up,8000,1345000,1345000,1322000,265197
삼성전자,코스피,5000,147299,005930,2014.04.01,1339000,down,4000,1345000,1345000,1331000,221620
삼성전자,코스피,5000,147299,005930,2014.04.02,1357000,up,18000,1350000,1357000,1343000,262001
삼성전자,코스피,5000,147299,005930,2014.04.03,1390000,up,33000,1351000,1395000,1351000,381976
삼성전자,코스피,5000,147299,005930,2014.04.04,1380000,down,10000,1377000,1397000,1377000,368007
삼성전자,코스피,5000,147299,005930,2014.04.07,1397000,up,17000,1397000,1397000,1374000,215235
삼성전자,코스피,5000,147299,005930,2014.04.08,1394000,down,3000,1387000,1399000,1375000,212164
삼성전자,코스피,5000,147299,005930,2014.04.09,1371000,down,23000,1394000,1395000,1364000,321232
삼성전자,코스피,5000,147299,005930,2014.04.10,1380000,up,9000,1369000,1380000,1360000,199984
삼성전자,코스피,5000,147299,005930,2014.04.11,1365000,down,15000,1362000,1368000,1359000,213187
삼성전자,코스피,5000,147299,005930,2014.04.14,1370000,up,5000,1365000,1386000,1365000,211720
삼성전자,코스피,5000,147299,005930,2014.04.15,1370000,,0,1386000,1387000,1369000,219396
삼성전자,코스피,5000,147299,005930,2014.04.16,1380000,up,10000,1370000,1392000,1363000,186171
삼성전자,코스피,5000,147299,005930,2014.04.17,1370000,down,10000,1376000,1380000,1366000,144833
삼성전자,코스피,5000,147299,005930,2014.04.18,1378000,up,8000,1370000,1379000,1370000,190367
삼성전자,코스피,5000,147299,005930,2014.04.21,1380000,up,2000,1379000,1386000,1375000,65985
삼성전자,코스피,5000,147299,005930,2014.04.22,1375000,down,5000,1374000,1384000,1371000,121686
삼성전자,코스피,5000,147299,005930,2014.04.23,1389000,up,14000,1394000,1395000,1382000,190015
삼성전자,코스피,5000,147299,005930,2014.04.24,1407000,up,18000,1409000,1409000,1399000,210924
삼성전자,코스피,5000,147299,005930,2014.04.25,1399000,down,8000,1420000,1428000,1398000,305396
삼성전자,코스피,5000,147299,005930,2014.04.28,1388000,down,11000,1404000,1406000,1382000,188629
삼성전자,코스피,5000,147299,005930,2014.04.29,1360000,down,28000,1389000,1395000,1351000,218184
삼성전자,코스피,5000,147299,005930,2014.04.30,1343000,down,17000,1380000,1381000,1326000,300946
삼성전자,코스피,5000,147299,005930,2014.05.02,1346000,up,3000,1354000,1359000,1344000,298867
삼성전자,코스피,5000,147299,005930,2014.05.07,1344000,down,2000,1350000,1356000,1340000,283794
삼성전자,코스피,5000,147299,005930,2014.05.08,1350000,up,6000,1355000,1355000,1344000,325638
삼성전자,코스피,5000,147299,005930,2014.05.09,1335000,down,15000,1356000,1358000,1326000,263141
삼성전자,코스피,5000,147299,005930,2014.05.12,1388000,up,53000,1336000,1395000,1332000,318896
삼성전자,코스피,5000,147299,005930,2014.05.13,1400000,up,12000,1388000,1425000,1388000,242148
삼성전자,코스피,5000,147299,005930,2014.05.14,1415000,up,15000,1409000,1415000,1401000,222075
삼성전자,코스피,5000,147299,005930,2014.05.15,1410000,down,5000,1414000,1419000,1403000,136134
삼성전자,코스피,5000,147299,005930,2014.05.16,1428000,up,18000,1400000,1437000,1399000,317130
삼성전자,코스피,5000,147299,005930,2014.05.19,1448000,up,20000,1428000,1450000,1408000,385621
삼성전자,코스피,5000,147299,005930,2014.05.20,1451000,up,3000,1445000,1454000,1435000,320146
삼성전자,코스피,5000,147299,005930,2014.05.21,1441000,down,10000,1435000,1450000,1435000,216850
삼성전자,코스피,5000,147299,005930,2014.05.22,1426000,down,15000,1441000,1448000,1426000,190800
삼성전자,코스피,5000,147299,005930,2014.05.23,1428000,up,2000,1405000,1428000,1405000,170233
삼성전자,코스피,5000,147299,005930,2014.05.26,1422000,down,6000,1420000,1432000,1415000,74712
삼성전자,코스피,5000,147299,005930,2014.05.27,1407000,down,15000,1417000,1423000,1403000,94968
삼성전자,코스피,5000,147299,005930,2014.05.28,1433000,up,26000,1419000,1435000,1409000,184019
삼성전자,코스피,5000,147299,005930,2014.05.29,1460000,up,27000,1450000,1465000,1440000,250430
삼성전자,코스피,5000,147299,005930,2014.05.30,1443000,down,17000,1470000,1482000,1443000,316621
삼성전자,코스피,5000,147299,005930,2014.06.02,1455000,up,12000,1443000,1458000,1439000,148789
삼성전자,코스피,5000,147299,005930,2014.06.03,1470000,up,15000,1484000,1495000,1465000,344685
삼성전자,코스피,5000,147299,005930,2014.06.05,1457000,down,13000,1466000,1480000,1450000,270141
삼성전자,코스피,5000,147299,005930,2014.06.09,1409000,down,48000,1470000,1473000,1402000,445392
삼성전자,코스피,5000,147299,005930,2014.06.10,1436000,up,27000,1421000,1438000,1405000,184282
삼성전자,코스피,5000,147299,005930,2014.06.11,1422000,down,14000,1412000,1430000,1412000,172515
삼성전자,코스피,5000,147299,005930,2014.06.12,1413000,down,9000,1430000,1430000,1401000,258863
삼성전자,코스피,5000,147299,005930,2014.06.13,1367000,down,46000,1402000,1404000,1363000,371781
삼성전자,코스피,5000,147299,005930,2014.06.16,1374000,up,7000,1380000,1382000,1362000,306399
삼성전자,코스피,5000,147299,005930,2014.06.17,1374000,,0,1360000,1378000,1351000,269535
삼성전자,코스피,5000,147299,005930,2014.06.18,1358000,down,16000,1373000,1376000,1356000,220887
삼성전자,코스피,5000,147299,005930,2014.06.19,1323000,down,35000,1345000,1349000,1320000,446794
삼성전자,코스피,5000,147299,005930,2014.06.20,1301000,down,22000,1330000,1330000,1296000,478053
삼성전자,코스피,5000,147299,005930,2014.06.23,1322000,up,21000,1321000,1332000,1316000,249765
삼성전자,코스피,5000,147299,005930,2014.06.24,1345000,up,23000,1340000,1354000,1332000,237817
삼성전자,코스피,5000,147299,005930,2014.06.25,1320000,down,25000,1330000,1333000,1318000,204638
삼성전자,코스피,5000,147299,005930,2014.06.26,1325000,up,5000,1309000,1343000,1307000,255306
삼성전자,코스피,5000,147299,005930,2014.06.27,1311000,down,14000,1307000,1319000,1306000,179061
삼성전자,코스피,5000,147299,005930,2014.06.30,1322000,up,11000,1310000,1324000,1309000,177621
삼성전자,코스피,5000,147299,005930,2014.07.01,1310000,down,12000,1308000,1314000,1301000,174508
삼성전자,코스피,5000,147299,005930,2014.07.02,1330000,up,20000,1317000,1331000,1306000,222785
삼성전자,코스피,5000,147299,005930,2014.07.03,1318000,down,12000,1336000,1336000,1316000,170861
삼성전자,코스피,5000,147299,005930,2014.07.04,1306000,down,12000,1322000,1326000,1303000,119577
삼성전자,코스피,5000,147299,005930,2014.07.07,1292000,down,14000,1291000,1301000,1290000,188741
삼성전자,코스피,5000,147299,005930,2014.07.08,1295000,up,3000,1294000,1319000,1287000,241464
삼성전자,코스피,5000,147299,005930,2014.07.09,1308000,up,13000,1287000,1308000,1283000,236598
삼성전자,코스피,5000,147299,005930,2014.07.10,1306000,down,2000,1308000,1311000,1302000,179204
삼성전자,코스피,5000,147299,005930,2014.07.11,1284000,down,22000,1300000,1302000,1282000,215592
삼성전자,코스피,5000,147299,005930,2014.07.14,1286000,up,2000,1298000,1300000,1286000,141643
삼성전자,코스피,5000,147299,005930,2014.07.15,1320000,up,34000,1300000,1323000,1297000,239521
삼성전자,코스피,5000,147299,005930,2014.07.16,1321000,up,1000,1313000,1323000,1311000,182284
삼성전자,코스피,5000,147299,005930,2014.07.17,1330000,up,9000,1326000,1335000,1320000,218454
삼성전자,코스피,5000,147299,005930,2014.07.18,1343000,up,13000,1315000,1343000,1314000,194853
삼성전자,코스피,5000,147299,005930,2014.07.21,1353000,up,10000,1349000,1360000,1343000,161199
삼성전자,코스피,5000,147299,005930,2014.07.22,1348000,down,5000,1348000,1358000,1345000,126019
삼성전자,코스피,5000,147299,005930,2014.07.23,1338000,down,10000,1354000,1357000,1335000,128346
삼성전자,코스피,5000,147299,005930,2014.07.24,1355000,up,17000,1350000,1358000,1331000,161034
삼성전자,코스피,5000,147299,005930,2014.07.25,1355000,,0,1346000,1355000,1335000,175803
삼성전자,코스피,5000,147299,005930,2014.07.28,1358000,up,3000,1355000,1367000,1344000,179851
삼성전자,코스피,5000,147299,005930,2014.07.29,1386000,up,28000,1355000,1388000,1353000,256186
삼성전자,코스피,5000,147299,005930,2014.07.30,1395000,up,9000,1388000,1408000,1374000,347189
삼성전자,코스피,5000,147299,005930,2014.07.31,1343000,down,52000,1374000,1385000,1336000,487027
삼성전자,코스피,5000,147299,005930,2014.08.01,1292000,down,51000,1305000,1328000,1292000,564621
삼성전자,코스피,5000,147299,005930,2014.08.04,1317000,up,25000,1300000,1317000,1291000,241335
삼성전자,코스피,5000,147299,005930,2014.08.05,1316000,down,1000,1301000,1321000,1300000,172529
삼성전자,코스피,5000,147299,005930,2014.08.06,1300000,down,16000,1306000,1316000,1295000,216602
